proteina,ligando,afinidad_kcal_mol,estado,log
2hav,mPEG-thiol_n_6_methyl-capped,-4.626,ok,logs_final\2hav_mPEG-thiol_n_6_methyl-capped_log.txt
2hav,2-Mercaptosuccinic_acid,-4.604,ok,logs_final\2hav_2-Mercaptosuccinic_acid_log.txt
2hav,PEG-amine_n_3_proxy,-4.513,ok,logs_final\2hav_PEG-amine_n_3_proxy_log.txt
2hav,Dithiothreitol_DTT,-4.512,ok,logs_final\2hav_Dithiothreitol_DTT_log.txt
2hav,L-Homocysteine,-4.41,ok,logs_final\2hav_L-Homocysteine_log.txt
2hav,Methionine,-4.401,ok,logs_final\2hav_Methionine_log.txt
2hav,PEG-thiol_n_4,-4.264,ok,logs_final\2hav_PEG-thiol_n_4_log.txt
2hav,PEG-thiol_n_3,-4.248,ok,logs_final\2hav_PEG-thiol_n_3_log.txt
2hav,6-Mercaptohexanoic_acid,-4.177,ok,logs_final\2hav_6-Mercaptohexanoic_acid_log.txt
2hav,PEG-dithiol_n_3,-4.13,ok,logs_final\2hav_PEG-dithiol_n_3_log.txt
2hav,4-Aminothiophenol,-4.056,ok,logs_final\2hav_4-Aminothiophenol_log.txt
2hav,mPEG-thiol_n_3_methyl-capped,-4.006,ok,logs_final\2hav_mPEG-thiol_n_3_methyl-capped_log.txt
2hav,Tris_buffer_Tris_base,-4.001,ok,logs_final\2hav_Tris_buffer_Tris_base_log.txt
2hav,3-Mercapto-1-propanesulfonic_acid_MPS,-3.929,ok,logs_final\2hav_3-Mercapto-1-propanesulfonic_acid_MPS_log.txt
2hav,L-Cysteine,-3.864,ok,logs_final\2hav_L-Cysteine_log.txt
2hav,3-Mercaptopropionic_acid,-3.557,ok,logs_final\2hav_3-Mercaptopropionic_acid_log.txt
2hav,Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,-3.527,ok,logs_final\2hav_Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol_log.txt
2hav,1-Hexanethiol,-3.479,ok,logs_final\2hav_1-Hexanethiol_log.txt
2hav,Thioglycolic_acid_mercaptoacetic_acid,-3.313,ok,logs_final\2hav_Thioglycolic_acid_mercaptoacetic_acid_log.txt
2hav,Polyethyleneimine_fragment_ethylenediamine,-2.903,ok,logs_final\2hav_Polyethyleneimine_fragment_ethylenediamine_log.txt
2hav,1-Butanethiol,-2.821,ok,logs_final\2hav_1-Butanethiol_log.txt
2hav,Mercaptoethanol_2-mercaptoethanol,-2.738,ok,logs_final\2hav_Mercaptoethanol_2-mercaptoethanol_log.txt
2hav,Thioacetic_acid,-2.728,ok,logs_final\2hav_Thioacetic_acid_log.txt
2hav,Cysteamine_2-aminoethanethiol,-2.68,ok,logs_final\2hav_Cysteamine_2-aminoethanethiol_log.txt
3ghg,Doxorubicin_proxy_daunorubicin_aglycone,-7.965,ok,logs_final\3ghg_Doxorubicin_proxy_daunorubicin_aglycone_log.txt
3ghg,Folic_acid,-7.912,ok,logs_final\3ghg_Folic_acid_log.txt
3ghg,Curcumin,-7.493,ok,logs_final\3ghg_Curcumin_log.txt
3ghg,Tannic_acid_approx,-7.193,ok,logs_final\3ghg_Tannic_acid_approx_log.txt
3ghg,Methotrexate,-7.009,ok,logs_final\3ghg_Methotrexate_log.txt
3ghg,TAT_peptide_fragment_YGRKKK_6_aa,-6.552,ok,logs_final\3ghg_TAT_peptide_fragment_YGRKKK_6_aa_log.txt
3ghg,Gemcitabine,-6.097,ok,logs_final\3ghg_Gemcitabine_log.txt
3ghg,RGD_peptide_Arg-Gly-Asp,-5.404,ok,logs_final\3ghg_RGD_peptide_Arg-Gly-Asp_log.txt
3ghg,Biotin,-5.403,ok,logs_final\3ghg_Biotin_log.txt
3ghg,Glutathione_GSH,-5.348,ok,logs_final\3ghg_Glutathione_GSH_log.txt
3ghg,HEPES,-5.338,ok,logs_final\3ghg_HEPES_log.txt
3ghg,5-Fluorouracil,-5.21,ok,logs_final\3ghg_5-Fluorouracil_log.txt
3ghg,11-Mercaptoundecanesulfonic_acid_MUS,-5.2,ok,logs_final\3ghg_11-Mercaptoundecanesulfonic_acid_MUS_log.txt
3ghg,SDS_dodecyl_sulfate_anion,-5.152,ok,logs_final\3ghg_SDS_dodecyl_sulfate_anion_log.txt
3ghg,4-Mercaptobenzoic_acid,-4.976,ok,logs_final\3ghg_4-Mercaptobenzoic_acid_log.txt
3ghg,D-Glucose,-4.901,ok,logs_final\3ghg_D-Glucose_log.txt
3ghg,Mannose,-4.9,ok,logs_final\3ghg_Mannose_log.txt
