ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Methionine,ZnO_12_0,1ao6,45.57017426583908,45.568762925086325,0.3903545320257028,50,151,-3.854,-7.76,-0.6333272876071241,1.4140363516585297,0.7807090640514054,0.3903545320257027
PEG-thiol_n_3,ZnO_12_0,1ao6,44.84864371559161,44.84942586205474,0.36661784766418,51,153,-3.783,-7.76,-0.6808006563301697,1.4140363516585297,0.7332356953283597,0.3666178476641799
L-Cysteine,ZnO_12_0,1ao6,44.614908466919886,44.616401179664216,0.35892849920903874,52,156,-3.76,-7.76,-0.6961793532404522,1.4140363516585297,0.7178569984180773,0.3589284992090386
mPEG-thiol_n_3_methyl-capped,ZnO_12_0,1ao6,44.462472435177474,44.464428560713884,0.3539137067382946,53,157,-3.745,-7.76,-0.7062089381819405,1.4140363516585297,0.707827413476589,0.3539137067382945
Tris_buffer_Tris_base,ZnO_12_0,1ao6,43.88321551455627,43.886932608702615,0.33485749534946646,54,159,-3.688,-7.76,-0.7443213609595968,1.4140363516585297,0.6697149906989327,0.3348574953494663
1-Hexanethiol,ZnO_12_0,1ao6,43.56818104895526,43.572855862871926,0.3244935909099283,55,161,-3.657,-7.76,-0.7650491698386731,1.4140363516585297,0.6489871818198564,0.3244935909099282
PEG-dithiol_n_3,ZnO_12_0,1ao6,43.48688183202597,43.49180379943175,0.3218190349255314,56,162,-3.649,-7.76,-0.770398281807467,1.4140363516585297,0.6436380698510625,0.3218190349255312
Gemcitabine,Au_13,1ao6,42.95639884892223,42.96293350984636,0.30436737314243173,57,168,-6.74,-2.34,1.2963648551352636,-0.6876301088504001,0.6087347462848635,0.3043673731424317
3-Mercapto-1-propanesulfonic_acid_MPS,ZnO_12_0,1ao6,42.83648809659164,42.843387291910325,0.3004225870503559,58,169,-3.585,-7.76,-0.8131911775578179,1.4140363516585297,0.6008451741007116,0.3004225870503558
Gemcitabine,Ag_13,1ao6,42.367054422277235,42.375380718309756,0.28497930616356715,59,170,-6.74,-2.24,1.2963648551352636,-0.7264062428081293,0.5699586123271343,0.2849793061635671
Biotin,Au_13,1ao6,41.57431216112426,41.585048431363326,0.25889992140768375,60,175,-6.604,-2.34,1.2054299516657676,-0.6876301088504001,0.5177998428153675,0.2588999214076837
RGD_peptide_Arg-Gly-Asp,Au_13,1ao6,41.05602965320003,41.06834152693219,0.24184962700715323,61,178,-6.553,-2.34,1.1713293628647066,-0.6876301088504001,0.4836992540143064,0.2418496270071532
