ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Dithiothreitol_DTT,Au_13,1ao6,16.1276572622559,16.215752574587466,-0.5782361017085564,117,359,-4.1,-2.34,-0.4688420945667129,-0.6876301088504001,-1.156472203417113,-0.5782361017085565
PEG-amine_n_3_proxy,Ag_13,1ao6,16.076920147767463,16.165169703342038,-0.5799052352907914,118,360,-4.153,-2.24,-0.4334042277734536,-0.7264062428081293,-1.1598104705815828,-0.5799052352907914
PEG-thiol_n_4,Ag_13,1ao6,15.680586465237168,15.77004089407117,-0.5929436957147264,119,363,-4.114,-2.24,-0.4594811486213235,-0.7264062428081293,-1.1858873914294528,-0.5929436957147264
Dithiothreitol_DTT,Ag_13,1ao6,15.538312835610904,15.628199783050855,-0.5976241686874211,120,364,-4.1,-2.24,-0.4688420945667129,-0.7264062428081293,-1.1952483373748422,-0.5976241686874211
6-Mercaptohexanoic_acid,Au_13,1ao6,15.009793029478141,15.101286702285014,-0.6150112464940142,121,371,-3.99,-2.34,-0.5423923841376282,-0.6876301088504001,-1.2300224929880283,-0.6150112464940142
PEG-thiol_n_6,Au_13,1ao6,14.430536108856932,14.523790750273738,-0.6340674578828425,122,376,-3.933,-2.34,-0.5805048069152848,-0.6876301088504001,-1.268134915765685,-0.6340674578828425
6-Mercaptohexanoic_acid,Ag_13,1ao6,14.420448602833149,14.513733910748408,-0.6343993134728787,123,377,-3.99,-2.24,-0.5423923841376282,-0.7264062428081293,-1.2687986269457574,-0.6343993134728787
L-Homocysteine,Au_13,1ao6,14.379724098276128,14.473133210623631,-0.6357390553730905,124,379,-3.928,-2.34,-0.5838480018957809,-0.6876301088504001,-1.271478110746181,-0.6357390553730905
PEG-thiol_n_6,Ag_13,1ao6,13.841191682211935,13.936237958737129,-0.6534555248617071,125,383,-3.933,-2.24,-0.5805048069152848,-0.7264062428081293,-1.3069110497234142,-0.6534555248617071
L-Homocysteine,Ag_13,1ao6,13.790379671631134,13.885580419087022,-0.655127122351955,126,384,-3.928,-2.24,-0.5838480018957809,-0.7264062428081293,-1.31025424470391,-0.655127122351955
