ligando,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
PSS_styrene_sulfonate_monomer,30,0.0333333333333331,8.847666969737299e-13,0.18051399339251,8.847666969737299e-13,21.06,0.57,3.3528798762274805,-1.6952099872852,14.354982209419,14.354982209419,0.57,21.06,8.235121885357833,0.00220869287,30.0,1.0,,,0.9999999999999952,1,16.0501921967042,0.73980383,0.63519835,-8.67162882,0.2303812835016539,8.3068522952442e-05,0.87841238160904,0.14799564278528,33.58,16.51
PVP_monomer_N-vinyl-2-pyrrolidone,30,0.0333333333333334,0.0063438492760952,0.07888142135957,0.0063438492760952,13.09,0.57,-0.0566695297220026,-0.72023648364568,0.83320164617635,0.83320164617635,0.57,13.09,7.8764819614969985,0.000133930477,30.0,1.0,,,1.000000000000003,1,1.55343812982203,0.30793417,0.20332869,-1.77678628,0.3065269973544724,0.00010792667696689,1.1693606832325,0.19157307489313,33.58,16.51
Polyethyleneimine_fragment_ethylenediamine,30,0.0333333333333334,5.4452642380495e-06,0.10538155978496,5.4452642380495e-06,33.58,0.57,1.8489285904375423,0.0,6.0835566501921,6.0835566501921,0.57,33.58,7.808334342169511,5.56917876e-05,30.0,1.0,,,1.0000000000000029,1,6.0835566501921,-1.96764176,-2.07224725,-3.17151222,0.3781463187548095,0.0001338294386639,1.4455910812107,0.24547332563021,33.58,16.51
RGD_peptide_Arg-Gly-Asp,30,0.0333333333333331,8.4404246785379e-21,0.11551702752813,8.4404246785379e-21,19.92,0.57,6.212848520120366,-1.1950796514714,25.962270698618,25.962270698618,0.57,19.92,8.535553230841666,0.0534867805,30.0,1.0,,,0.9999999999999948,1,27.1573503500894,0.54774623,0.44314075,-16.89587027,0.1214534316068567,4.1726834176647e-05,0.46228081808653,0.08231715653725,33.58,16.51
SDS_sodium_dodecyl_sulfate,30,0.0333333333333332,7.1808022723093e-19,0.39989600948009,7.1808022723093e-19,18.78,0.57,3.971337900411916,-6.1756136013942,19.00839089403,19.00839089403,0.57,18.78,9.1020327021,0.760563326,30.0,1.0,,,0.999999999999997,1,25.1840044954242,3.62076573,3.51616025,-12.08055119,0.12731139131448532,4.8116782189953e-05,0.48214514916872,0.086538115982732,33.58,16.51
Sodium_citrate_citrate3-,30,0.0333333333333329,7.7150201967969e-08,0.19775996776927,7.7150201967969e-08,16.51,0.57,-1.7718238318006798,-5.4863651304003,3.60871746261,3.60871746261,0.57,16.51,7.996938430891666,0.0019002569,30.0,1.0,,,0.9999999999999882,1,9.0950825930103,3.44084227,3.33623679,-0.9560769,0.28205709526514855,9.1103680000313e-05,1.0880168205057,0.1748621866566,33.58,16.51
TAT_peptide_fragment_YGRKKK_6_aa,30,0.0333333333333334,1.2441766889506e-21,0.17568146998421,1.2441766889506e-21,30.17,0.57,8.967509982947867,-0.61414114827005,27.981611077336,27.981611077336,0.57,30.17,8.929696021100002,0.988570936,30.0,1.0,,,1.0000000000000024,1,28.59575222560605,-0.23072546,-0.33533094,-19.0684606,0.020826190831552828,8.1399713745709e-06,0.077740807480673,0.015772229340674,33.58,16.51
Tannic_acid_approx,30,0.033333333333333,7.1970524439925e-11,0.18551853084411,7.1970524439925e-11,17.64,0.57,0.2588698320047873,-4.075617095033,9.2803809850887,9.2803809850887,0.57,17.64,8.103658389578333,0.0173197279,30.0,1.0,,,0.9999999999999905,1,13.3559980801217,2.4732198,2.36861432,-5.14783839,0.19708337909323326,6.450172425717e-05,0.7541470235304,0.13427944108457,33.58,16.51
Thioacetic_acid,30,0.0333333333333334,0.0033370420929825,0.071010210794978,0.0033370420929825,15.37,0.57,-0.1798377122553003,-0.88649334605589,0.99808650833703,0.99808650833703,0.57,15.37,7.874072420502083,9.774097e-05,30.0,1.0,,,1.000000000000003,1,1.88457985439292,0.5328883,0.42828282,-1.25456743,0.399655535533396,0.00013724026740995,1.531802953986,0.24393448604547,33.58,16.51
Thioglycolic_acid_mercaptoacetic_acid,30,0.0333333333333333,1.742469642951e-08,0.16079874836525,1.742469642951e-08,19.92,0.57,0.8509113354254274,-2.205490838402,7.6790905833494,7.6790905833494,0.57,19.92,8.01545610010625,0.000168650835,30.0,1.0,,,0.9999999999999994,1,9.8845814217514,1.1920395,1.08743402,-3.64572624,0.3671015637453546,0.00012259633923471,1.4096114617116,0.23308685646903,33.58,16.51
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,30,0.0333333333333333,0.0033550725348228,0.085677958648644,0.0033550725348228,11.95,0.57,-0.0203467764213213,-0.79330969291658,1.2036787057589,1.2036787057589,0.57,11.95,7.845824298272884,0.000433430173,30.0,1.0,,,1.0000000000000018,1,1.99698839867548,0.33100471,0.22639923,-1.94142226,0.2712677169179135,9.6370853893625e-05,1.0327081731414,0.17269587539136,33.58,16.51
Tris_buffer_Tris_base,30,0.0333333333333331,2.3876502640988e-07,0.10385442690516,2.3876502640988e-07,26.75,0.57,2.3206847050586386,-0.14120468244158,7.8606360733577,7.8606360733577,0.57,26.75,7.8975744266367665,0.000263851716,30.0,1.0,,,0.999999999999994,1,8.00184075579928,-1.0624572,-1.16706268,-4.0806865,0.313224223109195,0.0001096485286274,1.1917500902947,0.20404573361299,33.58,16.51
mPEG-thiol_n_3_methyl-capped,30,0.0333333333333334,0.0011575544585811,0.070211733464406,0.0011575544585811,11.95,0.57,0.2114630544993457,-0.5201473497617,2.0100191057785,2.0100191057785,0.57,11.95,7.955895350681501,0.00488048856,30.0,1.0,,,1.000000000000003,1,2.5301664555402,0.16547096,0.06086548,-2.11128659,0.221436343722993,7.97670091978e-05,0.84033258211248,0.14391127768968,33.58,16.51
mPEG-thiol_n_6_methyl-capped,30,0.0333333333333333,3.1617461902952e-05,0.10618991711158,3.1617461902952e-05,26.75,0.57,1.366486628508436,-0.26133810026695,4.7428243016011,4.7428243016011,0.57,26.75,8.175335635116666,0.216165531,30.0,1.0,,,1.000000000000001,1,5.00416240186805,-0.5432255,-0.64783098,-3.2966148,0.105867222349034,4.0151484997479e-05,0.39679224620884,0.073830929628347,33.58,16.51
